id_hex wheel_hex sector pfeb tds_channel pad_channel x0 y0 z0 x1 y1 z1 x2 y2 z2 x3 y3 z3 wheel id layer quad
0x7f68000000000000 0xA 4 0 2 101 -163.152 941.315 7451.81 -237.086 941.303 7451.78 -172.752 995.704 7451.89 -250.656 995.69 7451.87 10 9180587840394756096 0 0
0x7f68009000000000 0xA 4 0 3 100 -79.3779 941.33 7451.84 -163.152 941.315 7451.81 -84.1458 995.719 7451.93 -172.752 995.704 7451.89 10 9180588458870046720 0 0
0x7f68012000000000 0xA 4 0 4 99 3.12392 941.344 7451.87 -79.3779 941.33 7451.84 3.11451 995.734 7451.96 -84.1458 995.719 7451.93 10 9180589077345337344 0 0
0x7f6801b000000000 0xA 4 0 5 98 85.6257 941.358 7451.9 3.12392 941.344 7451.87 90.3748 995.749 7451.99 3.11451 995.734 7451.96 10 9180589695820627968 0 0
0x7f68024000000000 0xA 4 0 6 97 169.4 941.373 7451.93 85.6257 941.358 7451.9 178.981 995.764 7452.03 90.3748 995.749 7451.99 10 9180590314295918592 0 0
0x7f6802d000000000 0xA 4 0 7 96 239.334 941.385 7451.96 169.4 941.373 7451.93 252.885 995.777 7452.05 178.981 995.764 7452.03 10 9180590932771209216 0 0
0x7f68000800000000 0xA 4 0 8 95 -172.752 995.704 7451.89 -250.656 995.69 7451.87 -187.123 1077.12 7452.02 -270.97 1077.11 7451.99 10 9180587874754494464 0 0
0x7f68009800000000 0xA 4 0 9 94 -84.1458 995.719 7451.93 -172.752 995.704 7451.89 -91.2832 1077.14 7452.06 -187.123 1077.12 7452.02 10 9180588493229785088 0 0
0x7f68012800000000 0xA 4 0 10 93 3.11451 995.734 7451.96 -84.1458 995.719 7451.93 3.10042 1077.15 7452.09 -91.2832 1077.14 7452.06 10 9180589111705075712 0 0
0x7f6801b800000000 0xA 4 0 11 92 90.3748 995.749 7451.99 3.11451 995.734 7451.96 97.4841 1077.17 7452.13 3.10042 1077.15 7452.09 10 9180589730180366336 0 0
0x7f68024800000000 0xA 4 0 12 91 178.981 995.764 7452.03 90.3748 995.749 7451.99 193.324 1077.19 7452.16 97.4841 1077.17 7452.13 10 9180590348655656960 0 0
0x7f6802d800000000 0xA 4 0 13 90 252.885 995.777 7452.05 178.981 995.764 7452.03 273.171 1077.2 7452.19 193.324 1077.19 7452.16 10 9180590967130947584 0 0
0x7f68001000000000 0xA 4 0 14 89 -187.123 1077.12 7452.02 -270.97 1077.11 7451.99 -201.494 1158.54 7452.15 -291.285 1158.52 7452.12 10 9180587909114232832 0 0
0x7f6800a000000000 0xA 4 0 15 88 -91.2832 1077.14 7452.06 -187.123 1077.12 7452.02 -98.4206 1158.56 7452.19 -201.494 1158.54 7452.15 10 9180588527589523456 0 0
0x7f68013000000000 0xA 4 0 16 87 3.10042 1077.15 7452.09 -91.2832 1077.14 7452.06 3.08633 1158.57 7452.22 -98.4206 1158.56 7452.19 10 9180589146064814080 0 0
0x7f6801c000000000 0xA 4 0 17 86 97.4841 1077.17 7452.13 3.10042 1077.15 7452.09 104.593 1158.59 7452.26 3.08633 1158.57 7452.22 10 9180589764540104704 0 0
0x7f68025000000000 0xA 4 0 18 85 193.324 1077.19 7452.16 97.4841 1077.17 7452.13 207.666 1158.61 7452.3 104.593 1158.59 7452.26 10 9180590383015395328 0 0
0x7f6802e000000000 0xA 4 0 19 84 273.171 1077.2 7452.19 193.324 1077.19 7452.16 293.457 1158.62 7452.33 207.666 1158.61 7452.3 10 9180591001490685952 0 0
0x7f68001800000000 0xA 4 0 20 83 -201.494 1158.54 7452.15 -291.285 1158.52 7452.12 -215.864 1239.96 7452.28 -311.599 1239.94 7452.24 10 9180587943473971200 0 0
0x7f6800a800000000 0xA 4 0 21 82 -98.4206 1158.56 7452.19 -201.494 1158.54 7452.15 -105.558 1239.97 7452.32 -215.864 1239.96 7452.28 10 9180588561949261824 0 0
0x7f68013800000000 0xA 4 0 22 81 3.08633 1158.57 7452.22 -98.4206 1158.56 7452.19 3.07225 1239.99 7452.36 -105.558 1239.97 7452.32 10 9180589180424552448 0 0
